Rank,Player,Club,OVERS,MAIDENS,RUNS,WICKETS,BEST BOWLING,5 WICKET HAUL,ECONOMY RATE,STRIKE RATE,AVERAGE,% BOWLED,% CAUGHT,% LBW,% STUMPED,% TEAM WICKET
18,Player_181,Club_36,40.0,7,161,13,3/15,0,4.03,18.46,12.38,23.08,46.15,7.69,23.08,9.49
19,Player_413,Club_45,19.3,4,62,12,3/8,0,3.18,9.75,5.17,100.0,0.0,8.33,0.0,19.67
20,Player_231,Club_39,26.0,6,79,12,3/1,0,3.04,13.0,6.58,100.0,0.0,0.0,0.0,15.38
21,Player_296,Club_34,28.0,3,121,12,2/1,0,4.32,14.0,10.08,66.67,33.33,0.0,0.0,12.63
22,Player_147,Club_12,32.0,6,73,12,4/0,0,2.28,16.0,6.08,58.33,25.0,0.0,0.0,17.91
23,Player_053,Club_36,35.0,3,159,12,4/2,0,4.54,17.5,13.25,75.0,25.0,0.0,0.0,11.32
24,Player_235,Club_42,22.1,5,88,11,2/0,0,3.97,12.09,8.0,72.73,27.27,0.0,0.0,22.92
25,Player_423,Club_32,23.2,0,114,11,3/4,0,4.89,12.73,10.36,63.64,36.36,0.0,0.0,12.64
26,Player_388,Club_36,24.4,1,113,11,3/3,0,4.58,13.45,10.27,72.73,18.18,0.0,9.09,17.74
27,Player_007,Club_07,25.0,1,73,11,3/5,0,2.92,13.64,6.64,63.64,36.36,0.0,0.0,15.49
28,Player_233,Club_08,25.3,3,128,11,3/3,0,5.02,13.91,11.64,72.73,27.27,0.0,0.0,19.64
29,Player_308,Club_32,27.0,1,119,11,2/4,0,4.41,14.73,10.82,63.64,36.36,0.0,0.0,11.58
30,Player_271,Club_32,30.0,2,149,11,2/2,0,4.97,16.36,13.55,90.91,9.09,0.0,0.0,11.7
31,Player_041,Club_36,30.4,2,210,11,2/1,0,6.85,16.73,19.09,54.55,45.45,0.0,0.0,9.65
32,Player_195,Club_43,36.0,4,128,11,2/3,0,3.56,19.64,11.64,54.55,36.36,0.0,0.0,21.15
33,Player_227,Club_22,18.0,5,39,10,5/0,1,2.17,10.8,3.9,80.0,20.0,0.0,0.0,16.13
34,Player_129,Club_39,20.0,2,80,10,3/10,0,4.0,12.0,8.0,50.0,40.0,10.0,0.0,15.87
35,Player_272,Club_16,20.1,3,90,10,3/0,0,4.46,12.1,9.0,60.0,30.0,0.0,10.0,12.2
36,Player_243,Club_47,21.0,2,96,10,2/2,0,4.57,12.6,9.6,70.0,20.0,10.0,0.0,13.51
37,Player_165,Club_07,21.3,1,87,10,2/2,0,4.05,12.9,8.7,50.0,40.0,0.0,0.0,14.71
38,Player_384,Club_06,22.0,7,40,10,4/0,0,1.82,13.2,4.0,60.0,30.0,10.0,0.0,17.54
39,Player_030,Club_47,22.0,2,101,10,2/6,0,4.59,13.2,10.1,40.0,50.0,0.0,0.0,13.51
40,Player_061,Club_09,22.0,3,63,10,2/6,0,2.86,13.2,6.3,90.0,10.0,0.0,0.0,23.26
41,Player_029,Club_47,23.1,4,82,10,2/8,0,3.54,13.9,8.2,50.0,20.0,20.0,10.0,13.51
42,Player_068,Club_24,23.1,1,125,10,3/10,0,5.4,13.9,12.5,60.0,40.0,0.0,0.0,20.41
43,Player_254,Club_32,24.0,1,89,10,3/13,0,3.71,14.4,8.9,70.0,30.0,0.0,0.0,12.35
44,Player_164,Club_49,26.0,3,123,10,3/19,0,4.73,15.6,12.3,40.0,60.0,0.0,0.0,15.38
45,Player_237,Club_17,27.0,1,147,10,3/16,0,5.44,16.2,14.7,90.0,10.0,0.0,0.0,29.41
46,Player_149,Club_34,27.0,2,75,10,2/4,0,2.78,16.2,7.5,30.0,70.0,0.0,0.0,10.64
47,Player_282,Club_37,27.0,7,83,10,3/4,0,3.07,16.2,8.3,70.0,10.0,0.0,0.0,14.93
48,Player_414,Club_36,30.0,4,86,10,2/8,0,2.87,18.0,8.6,90.0,10.0,0.0,0.0,10.2
49,Player_003,Club_02,30.0,2,169,10,5/11,1,5.63,18.0,16.9,60.0,30.0,0.0,0.0,15.87
50,Player_367,Club_29,30.0,4,93,10,3/1,0,3.1,18.0,9.3,80.0,10.0,0.0,10.0,10.42
51,Player_009,Club_34,32.0,4,96,10,2/3,0,3.0,19.2,9.6,90.0,10.0,0.0,0.0,10.1
52,Player_086,Club_13,33.0,2,136,10,3/12,0,4.12,19.8,13.6,70.0,30.0,0.0,0.0,12.2
53,Player_179,Club_22,36.0,0,137,10,2/6,0,3.81,21.6,13.7,70.0,30.0,0.0,0.0,10.99
54,Player_142,Club_19,18.0,1,87,9,2/3,0,4.83,12.0,9.67,33.33,44.44,11.11,0.0,11.84
55,Player_369,Club_11,19.0,6,80,9,2/7,0,4.21,12.67,8.89,77.78,22.22,0.0,0.0,16.07
56,Player_048,Club_13,21.4,1,110,9,2/7,0,5.08,14.44,12.22,55.56,33.33,0.0,11.11,12.68
57,Player_174,Club_47,22.0,4,106,9,2/11,0,4.82,14.67,11.78,55.56,11.11,11.11,0.0,12.16
58,Player_140,Club_16,23.0,4,60,9,3/7,0,2.61,15.33,6.67,66.67,33.33,0.0,0.0,11.69
59,Player_148,Club_04,23.0,3,97,9,3/2,0,4.22,15.33,10.78,66.67,33.33,0.0,0.0,20.0
60,Player_194,Club_16,23.0,4,84,9,2/1,0,3.65,15.33,9.33,44.44,33.33,0.0,0.0,10.98
61,Player_020,Club_36,23.3,2,87,9,2/6,0,3.7,15.67,9.67,77.78,22.22,0.0,0.0,11.25
