Rank,Player,Club,GAMES,INNS,NOT OUTS,RUNS,HIGH SCORE,AVG,50s,100s,STRIKE RATE,4s,6s,DUCKS,BOWLED,CAUGHT,LBW,STUMPED,RUN OUT,DID NOT BAT(%),GAMES WON(%),GAMES LOST(%),GAMES DRAWN(%),TEAM RUNS(%)
33,Player_124,Club_48,12,12,8,206,30,51.5,0,0,98.73,23,2,1,2,2,0,0,0,0(0.00%),12(100.00%),0(0.00%),0(0.00%),17.0
34,Player_412,Club_07,11,10,5,205,32,41.0,0,0,79.72,29,0,0,2,3,0,0,0,1(9.09%),10(90.91%),1(9.09%),0(0.00%),20.14
35,Player_034,Club_32,16,15,6,203,32,22.56,0,0,89.82,34,2,4,7,2,0,0,0,1(6.25%),11(68.75%),3(18.75%),1(6.25%),15.24
36,Player_420,Club_03,8,8,5,200,32,66.67,0,0,67.12,5,0,0,1,1,0,0,1,0(0.00%),5(62.50%),3(37.50%),0(0.00%),26.04
37,Player_426,Club_27,10,10,4,200,33,33.33,0,0,99.35,54,6,0,4,1,0,0,1,0(0.00%),3(30.00%),7(70.00%),0(0.00%),21.44
38,Player_181,Club_36,20,12,7,195,34,39.0,0,0,133.56,25,6,0,2,2,0,0,1,8(40.00%),17(85.00%),3(15.00%),0(0.00%),7.95
39,Player_147,Club_12,12,12,5,193,30,27.57,0,0,75.98,29,0,1,4,1,1,0,1,0(0.00%),9(75.00%),3(25.00%),0(0.00%),14.19
40,Player_059,Club_06,12,10,4,193,32,32.17,0,0,138.14,16,1,0,3,2,1,0,0,2(16.67%),9(75.00%),3(25.00%),0(0.00%),14.31
41,Player_302,Club_14,16,14,6,192,30,24.0,0,0,71.37,20,0,0,5,1,0,0,2,2(12.50%),12(75.00%),4(25.00%),0(0.00%),10.15
42,Player_222,Club_33,11,11,6,190,32,38.0,0,0,74.23,9,0,2,4,1,0,0,0,0(0.00%),7(63.64%),4(36.36%),0(0.00%),17.35
43,Player_418,Club_48,11,7,6,189,33,189.0,0,0,110.34,19,6,1,0,1,0,0,0,4(36.36%),11(100.00%),0(0.00%),0(0.00%),16.0
44,Player_131,Club_42,13,13,5,188,31,23.5,0,0,87.04,27,0,2,3,3,1,0,1,0(0.00%),7(53.85%),6(46.15%),0(0.00%),12.77
45,Player_406,Club_39,13,12,6,187,33,31.17,0,0,77.27,20,0,0,3,2,0,0,1,1(7.69%),10(76.92%),3(23.08%),0(0.00%),15.11
46,Player_374,Club_10,11,11,3,185,33,23.13,0,0,101.09,31,2,2,4,3,0,0,1,0(0.00%),7(63.64%),4(36.36%),0(0.00%),15.84
47,Player_061,Club_09,9,9,4,182,33,36.4,0,0,84.52,29,0,0,3,2,0,0,0,0(0.00%),3(33.33%),6(66.67%),0(0.00%),25.6
48,Player_183,Club_31,11,11,3,182,33,22.75,0,0,94.79,35,1,1,5,3,0,0,0,0(0.00%),4(36.36%),7(63.64%),0(0.00%),15.68
49,Player_287,Club_36,14,12,4,181,32,22.63,0,0,74.49,24,0,2,2,5,0,0,1,2(14.29%),13(92.86%),1(7.14%),0(0.00%),10.75
50,Player_214,Club_10,11,11,3,180,34,22.5,0,0,72,25,3,1,5,2,1,0,0,0(0.00%),7(63.64%),4(36.36%),0(0.00%),15.41
51,Player_203,Club_49,12,12,7,176,33,35.2,0,0,64.89,22,3,2,3,1,1,0,0,0(0.00%),5(41.67%),6(50.00%),0(0.00%),20.78
52,Player_076,Club_14,15,14,6,175,32,21.88,0,0,62.5,25,0,2,5,2,0,0,1,1(6.67%),9(60.00%),6(40.00%),0(0.00%),13.49
53,Player_140,Club_16,10,9,4,172,32,34.4,0,0,147.37,19,5,0,1,4,0,0,0,1(10.00%),8(80.00%),1(10.00%),0(0.00%),15.78
54,Player_146,Club_35,10,9,3,169,32,28.17,0,0,131.01,24,1,1,5,1,0,0,0,1(10.00%),6(60.00%),4(40.00%),0(0.00%),20.0
55,Player_113,Club_37,13,13,4,166,32,18.44,0,0,81.37,23,4,2,6,2,1,0,0,0(0.00%),13(100.00%),0(0.00%),0(0.00%),12.6
56,Player_227,Club_22,10,9,3,164,34,27.33,0,0,132.26,21,6,0,3,1,2,0,0,1(10.00%),10(100.00%),0(0.00%),0(0.00%),14.47
57,Player_297,Club_46,10,10,3,164,31,23.43,0,0,87.23,27,0,1,1,6,0,0,0,0(0.00%),5(50.00%),5(50.00%),0(0.00%),17.67
58,Player_280,Club_36,18,14,4,163,30,16.3,0,0,70.56,18,0,0,3,4,0,1,2,4(22.22%),13(72.22%),5(27.78%),0(0.00%),7.91
59,Player_035,Club_22,13,11,4,163,31,23.29,0,0,73.76,13,0,1,1,4,0,0,2,2(15.38%),10(76.92%),3(23.08%),0(0.00%),11.13
60,Player_047,Club_05,9,9,3,162,31,27.0,0,0,85.71,17,0,0,4,2,0,0,0,0(0.00%),5(55.56%),4(44.44%),0(0.00%),16.63
61,Player_123,Club_08,7,7,5,161,31,80.5,0,0,89.44,21,1,1,0,1,0,0,0,0(0.00%),4(57.14%),3(42.86%),0(0.00%),21.93
62,Player_310,Club_43,13,13,3,161,31,16.1,0,0,49.39,21,0,3,4,4,1,0,1,0(0.00%),4(30.77%),9(69.23%),0(0.00%),13.5
63,Player_307,Club_22,14,12,2,161,32,16.1,0,0,111.03,26,1,1,7,2,1,0,0,2(14.29%),11(78.57%),3(21.43%),0(0.00%),9.85
