Rank,Player,Club,GAMES,INNS,NOT OUTS,RUNS,HIGH SCORE,AVG,50s,100s,STRIKE RATE,4s,6s,DUCKS,BOWLED,CAUGHT,LBW,STUMPED,RUN OUT,DID NOT BAT(%),GAMES WON(%),GAMES LOST(%),GAMES DRAWN(%),TEAM RUNS(%)
158,Player_327,Club_08,8,8,2,87,24,14.5,0,0,80.56,12,2,0,5,1,0,0,0,0(0.00%),2(25.00%),6(75.00%),0(0.00%),12.89
159,Player_278,Club_40,10,10,2,87,32,10.88,0,0,51.79,9,0,2,5,2,1,0,0,0(0.00%),1(10.00%),9(90.00%),0(0.00%),13.62
160,Player_350,Club_45,8,6,1,87,33,17.4,0,0,112,9,2,0,2,3,0,0,0,2(25.00%),4(50.00%),2(25.00%),1(12.50%),13.85
161,Player_365,Club_37,13,9,4,86,31,17.2,0,0,134.38,14,0,2,3,2,0,0,0,4(30.77%),12(92.31%),1(7.69%),0(0.00%),6.66
162,Player_072,Club_38,9,9,4,86,24,17.2,0,0,58.5,9,0,0,0,3,1,0,1,0(0.00%),4(44.44%),5(55.56%),0(0.00%),8.91
163,Player_244,Club_42,9,8,2,86,24,14.33,0,0,73.5,13,0,0,2,2,0,0,2,1(11.11%),6(66.67%),3(33.33%),0(0.00%),8.0
164,Player_039,Club_34,15,7,1,86,28,14.33,0,0,76.79,14,0,0,5,0,0,1,0,8(53.33%),12(80.00%),3(20.00%),0(0.00%),5.79
165,Player_235,Club_42,9,8,3,85,32,17.0,0,0,79.44,9,0,1,3,2,0,0,0,1(11.11%),6(66.67%),3(33.33%),0(0.00%),7.72
166,Player_360,Club_40,11,11,0,85,28,7.73,0,0,53.13,16,0,2,8,2,0,0,1,0(0.00%),1(9.09%),10(90.91%),0(0.00%),11.77
167,Player_042,Club_01,10,6,2,83,24,20.75,0,0,87.37,10,1,0,0,2,0,1,1,4(40.00%),7(70.00%),3(30.00%),0(0.00%),9.05
168,Player_337,Club_14,12,11,4,82,28,11.71,0,0,60.74,8,0,2,3,2,0,0,2,1(8.33%),2(16.67%),10(83.33%),0(0.00%),9.62
169,Player_315,Club_12,11,10,2,82,24,10.25,0,0,55.78,13,1,1,6,2,0,0,0,1(9.09%),9(81.82%),2(18.18%),0(0.00%),6.49
170,Player_084,Club_31,10,9,6,80,19,26.67,0,0,90.91,14,0,0,1,0,0,0,2,1(10.00%),4(40.00%),6(60.00%),0(0.00%),7.39
171,Player_189,Club_18,8,8,2,80,32,13.33,0,0,140.35,16,1,3,2,3,0,0,1,0(0.00%),2(25.00%),6(75.00%),0(0.00%),13.49
172,Player_075,Club_49,9,7,3,79,33,19.75,0,0,106.76,13,1,1,4,0,0,0,0,2(22.22%),4(44.44%),5(55.56%),0(0.00%),12.29
173,Player_312,Club_26,5,5,1,79,28,19.75,0,0,77.78,11,0,1,1,2,0,0,1,0(0.00%),1(20.00%),4(80.00%),0(0.00%),24.69
174,Player_148,Club_04,8,7,0,79,23,11.29,0,0,59.4,10,0,0,6,1,0,0,0,1(12.50%),3(37.50%),5(62.50%),0(0.00%),13.64
175,Player_397,Club_36,11,7,1,77,31,12.83,0,0,88.51,13,0,1,3,2,0,0,1,4(36.36%),4(36.36%),7(63.64%),0(0.00%),6.63
176,Player_267,Club_38,9,8,3,76,30,15.2,0,0,118.75,10,1,0,3,0,0,1,1,1(11.11%),4(44.44%),5(55.56%),0(0.00%),7.88
177,Player_282,Club_37,11,8,2,76,32,12.67,0,0,79.17,11,0,1,2,3,0,0,1,3(27.27%),10(90.91%),1(9.09%),0(0.00%),7.11
178,Player_348,Club_44,9,9,1,76,30,9.5,0,0,66.67,6,0,2,5,3,0,0,0,0(0.00%),6(66.67%),3(33.33%),0(0.00%),9.08
179,Player_354,Club_14,11,7,3,74,30,18.5,0,0,44.58,7,0,0,1,2,0,0,1,4(36.36%),5(45.45%),6(54.55%),0(0.00%),7.18
180,Player_094,Club_13,11,8,3,74,29,14.8,0,0,81.32,13,0,2,1,3,0,0,1,3(27.27%),8(72.73%),3(27.27%),0(0.00%),7.06
181,Player_107,Club_38,7,7,1,74,25,12.33,0,0,43.02,10,0,2,4,1,0,0,1,0(0.00%),1(14.29%),6(85.71%),0(0.00%),10.59
182,Player_038,Club_08,11,11,2,73,30,8.11,0,0,57.48,13,0,3,9,0,0,0,0,0(0.00%),5(45.45%),5(45.45%),0(0.00%),6.6
183,Player_055,Club_11,11,11,4,72,30,10.29,0,0,45.28,8,0,0,4,0,1,0,2,0(0.00%),7(63.64%),4(36.36%),0(0.00%),6.56
184,Player_184,Club_30,10,10,2,72,16,9.0,0,0,52.94,10,1,3,4,4,0,0,0,0(0.00%),1(10.00%),9(90.00%),0(0.00%),9.76
185,Player_165,Club_07,10,9,5,71,24,17.75,0,0,70.49,7,0,0,2,0,0,0,1,1(10.00%),9(90.00%),1(10.00%),0(0.00%),7.7
186,Player_396,Club_32,14,12,2,71,25,7.1,0,0,54.2,7,2,5,3,6,1,0,0,2(14.29%),10(71.43%),3(21.43%),0(0.00%),5.82
187,Player_237,Club_17,10,10,0,71,25,7.1,0,0,21.74,1,0,2,6,3,0,0,1,0(0.00%),1(10.00%),9(90.00%),0(0.00%),11.64
188,Player_182,Club_41,3,3,2,70,30,70.0,0,0,85.37,6,0,0,1,0,0,0,0,0(0.00%),2(66.67%),1(33.33%),0(0.00%),21.54
189,Player_043,Club_04,8,7,1,70,22,11.67,0,0,71.43,11,0,2,5,1,0,0,0,1(12.50%),3(37.50%),5(62.50%),0(0.00%),12.84
190,Player_232,Club_32,15,13,3,69,17,6.9,0,0,46.31,9,0,6,9,1,0,0,0,2(13.33%),10(66.67%),3(20.00%),1(6.67%),5.57
191,Player_233,Club_08,12,12,0,69,28,5.75,0,0,43.13,9,0,4,6,5,0,0,1,0(0.00%),3(25.00%),9(75.00%),0(0.00%),7.06
192,Player_305,Club_20,8,8,1,68,33,9.71,0,0,76.4,10,0,1,6,0,0,0,1,0(0.00%),0(0.00%),8(100.00%),0(0.00%),15.49
193,Player_090,Club_11,13,11,0,68,23,6.18,0,0,49.64,11,0,3,9,1,0,0,1,2(15.38%),7(53.85%),6(46.15%),0(0.00%),5.0
194,Player_211,Club_20,9,8,0,68,25,8.5,0,0,68,11,0,3,5,3,0,0,0,0(0.00%),0(0.00%),8(88.89%),0(0.00%),14.53
195,Player_191,Club_21,9,8,1,67,30,9.57,0,0,70.53,9,0,2,3,3,0,0,1,1(11.11%),3(33.33%),6(66.67%),0(0.00%),7.95
196,Player_281,Club_13,10,6,3,66,28,22.0,0,0,62.26,10,0,0,2,0,0,0,0,4(40.00%),7(70.00%),3(30.00%),0(0.00%),6.67
197,Player_016,Club_06,9,7,2,66,17,13.2,0,0,80.3,7,0,0,1,4,0,0,0,2(22.22%),7(77.78%),2(22.22%),0(0.00%),6.45
198,Player_188,Club_30,11,10,2,66,13,8.25,0,0,41.25,6,0,1,5,0,0,1,2,1(9.09%),1(9.09%),10(90.91%),0(0.00%),8.17
199,Player_062,Club_49,10,8,2,65,25,10.83,0,0,56.52,9,0,2,2,3,0,1,0,2(20.00%),3(30.00%),6(60.00%),0(0.00%),8.38
200,Player_245,Club_06,10,9,3,64,15,10.67,0,0,70.51,7,0,1,3,2,0,0,1,1(10.00%),7(70.00%),3(30.00%),0(0.00%),5.62
201,Player_284,Club_14,10,9,1,64,21,8.0,0,0,43.84,10,0,2,4,1,2,0,1,1(10.00%),2(20.00%),8(80.00%),0(0.00%),9.04
202,Player_176,Club_25,8,8,0,63,27,7.88,0,0,57.27,9,0,3,4,4,0,0,0,0(0.00%),3(37.50%),5(62.50%),0(0.00%),7.85
203,Player_269,Club_13,9,7,1,62,17,10.33,0,0,46.27,5,0,1,1,4,1,0,0,2(22.22%),6(66.67%),3(33.33%),0(0.00%),7.04
204,Player_274,Club_06,11,8,0,61,16,7.63,0,0,53.27,6,0,2,3,3,0,1,1,3(27.27%),8(72.73%),3(27.27%),0(0.00%),4.89
205,Player_164,Club_49,12,11,1,60,25,6.0,0,0,34.13,4,0,3,7,2,0,0,1,1(8.33%),5(41.67%),6(50.00%),0(0.00%),7.08
206,Player_063,Club_23,8,6,3,59,31,19.67,0,0,73.68,7,0,1,1,1,0,0,1,2(25.00%),2(25.00%),6(75.00%),0(0.00%),9.41
207,Player_234,Club_48,13,8,3,59,31,11.8,0,0,88.89,3,0,0,4,1,0,0,0,5(38.46%),12(92.31%),1(7.69%),0(0.00%),4.52
208,Player_353,Club_08,9,9,1,57,23,7.13,0,0,34.76,7,0,0,2,3,0,2,1,0(0.00%),2(22.22%),7(77.78%),0(0.00%),8.18
209,Player_006,Club_08,10,10,0,57,26,5.7,0,0,52.78,11,0,5,9,1,0,0,0,0(0.00%),2(20.00%),8(80.00%),0(0.00%),7.34
210,Player_106,Club_25,7,7,1,56,17,9.33,0,0,67.24,9,0,2,4,2,0,0,0,0(0.00%),3(42.86%),4(57.14%),0(0.00%),8.06
211,Player_300,Club_01,10,5,2,55,22,18.33,0,0,63.22,10,0,0,2,1,0,0,0,5(50.00%),7(70.00%),3(30.00%),0(0.00%),6.0
212,Player_085,Club_14,7,5,2,55,17,18.33,0,0,41.04,4,0,0,2,1,0,0,0,2(28.57%),0(0.00%),7(100.00%),0(0.00%),12.2
213,Player_346,Club_26,10,10,1,54,31,6.0,0,0,40.4,6,0,4,8,1,0,0,0,0(0.00%),1(10.00%),8(80.00%),0(0.00%),8.36
214,Player_088,Club_30,7,7,0,54,15,7.71,0,0,75,8,2,2,3,4,0,0,0,0(0.00%),0(0.00%),7(100.00%),0(0.00%),10.38
215,Player_272,Club_16,10,6,4,53,19,26.5,0,0,43.8,7,0,1,1,0,0,0,1,4(40.00%),10(100.00%),0(0.00%),0(0.00%),4.98
216,Player_248,Club_25,10,9,2,53,30,7.57,0,0,62.35,7,0,3,4,3,0,0,0,1(10.00%),3(30.00%),7(70.00%),0(0.00%),5.86
217,Player_405,Club_14,8,6,1,53,29,10.6,0,0,54.64,7,0,1,4,0,0,0,1,2(25.00%),7(87.50%),1(12.50%),0(0.00%),5.75
218,Player_333,Club_21,9,9,1,53,19,6.63,0,0,71.62,7,2,3,6,1,0,0,1,0(0.00%),4(44.44%),5(55.56%),0(0.00%),6.28
219,Player_328,Club_21,7,7,1,53,16,8.83,0,0,63.86,5,0,2,4,1,0,0,1,0(0.00%),2(28.57%),5(71.43%),0(0.00%),8.69
220,Player_142,Club_19,11,9,1,53,16,6.63,0,0,102.22,7,0,2,4,3,0,0,1,2(18.18%),8(72.73%),3(27.27%),0(0.00%),4.24
221,Player_330,Club_42,3,3,2,52,30,52.0,0,0,45.61,3,0,0,0,0,0,0,1,0(0.00%),2(66.67%),1(33.33%),0(0.00%),15.48
222,Player_293,Club_43,15,10,2,52,19,6.5,0,0,51.49,7,0,1,4,3,0,0,1,5(33.33%),4(26.67%),11(73.33%),0(0.00%),3.86
223,Player_041,Club_36,18,8,2,52,17,8.67,0,0,42.28,4,0,0,6,0,0,0,0,10(55.56%),13(72.22%),5(27.78%),0(0.00%),2.51
224,Player_017,Club_48,11,7,0,52,23,7.43,0,0,142.86,8,0,1,6,1,0,0,0,4(36.36%),10(90.91%),1(9.09%),0(0.00%),4.81
225,Player_409,Club_14,17,16,5,51,8,4.64,0,0,32.03,3,0,4,5,4,0,0,2,1(5.88%),9(52.94%),8(47.06%),0(0.00%),3.47
226,Player_166,Club_23,7,6,2,51,21,12.75,0,0,46.94,1,0,1,0,2,0,1,1,1(14.29%),2(28.57%),5(71.43%),0(0.00%),9.66
227,Player_388,Club_36,13,9,3,50,25,8.33,0,0,41.67,8,1,2,5,1,0,0,0,4(30.77%),8(61.54%),5(38.46%),0(0.00%),3.62
228,Player_128,Club_17,7,7,3,50,18,12.5,0,0,12.5,0,0,1,3,0,0,0,1,0(0.00%),1(14.29%),6(85.71%),0(0.00%),10.22
229,Player_334,Club_04,6,5,2,50,19,16.67,0,0,54.95,8,0,2,2,0,0,0,1,1(16.67%),3(50.00%),3(50.00%),0(0.00%),11.29
230,Player_007,Club_07,11,6,1,50,18,10.0,0,0,53.66,6,0,1,3,2,0,0,0,5(45.45%),9(81.82%),2(18.18%),0(0.00%),5.08
231,Player_265,Club_27,7,5,1,50,22,12.5,0,0,42.5,7,0,0,4,0,0,0,0,2(28.57%),1(14.29%),6(85.71%),0(0.00%),8.03
232,Player_157,Club_38,10,9,3,49,15,8.17,0,0,51.04,3,0,2,4,1,0,0,1,1(10.00%),4(40.00%),6(60.00%),0(0.00%),4.62
233,Player_285,Club_35,11,8,3,49,19,9.8,0,0,33.79,3,0,2,5,0,0,0,0,3(27.27%),7(63.64%),4(36.36%),0(0.00%),5.03
234,Player_008,Club_34,15,8,2,49,21,8.17,0,0,79.03,8,0,3,0,6,0,0,0,7(46.67%),12(80.00%),3(20.00%),0(0.00%),3.3
235,Player_394,Club_38,8,7,1,49,13,8.17,0,0,47.12,5,0,2,3,3,0,0,0,1(12.50%),4(50.00%),4(50.00%),0(0.00%),6.23
236,Player_018,Club_08,8,7,1,49,15,8.17,0,0,69.01,8,0,2,2,3,0,0,1,1(12.50%),3(37.50%),4(50.00%),0(0.00%),6.74
237,Player_168,Club_21,6,5,1,49,23,12.25,0,0,47.12,4,0,0,1,1,0,0,2,1(16.67%),4(66.67%),2(33.33%),0(0.00%),8.01
238,Player_357,Club_27,10,9,5,48,12,12.0,0,0,46.15,3,0,1,1,3,0,0,0,1(10.00%),3(30.00%),7(70.00%),0(0.00%),5.14
239,Player_339,Club_08,12,10,4,48,19,8.0,0,0,62.34,6,0,4,3,1,0,0,2,2(16.67%),6(50.00%),5(41.67%),0(0.00%),4.15
240,Player_345,Club_33,6,5,2,48,22,16.0,0,0,66.67,3,0,0,2,0,0,0,1,1(16.67%),4(66.67%),2(33.33%),0(0.00%),7.48
241,Player_160,Club_33,6,6,2,48,18,12.0,0,0,3.33,0,0,2,1,3,0,0,0,0(0.00%),4(66.67%),2(33.33%),0(0.00%),8.96
242,Player_150,Club_36,4,4,1,48,26,16.0,0,0,53.93,9,0,0,1,0,0,0,2,0(0.00%),0(0.00%),4(100.00%),0(0.00%),14.77
243,Player_044,Club_05,8,8,0,48,24,6.0,0,0,45.74,3,0,3,3,4,0,0,1,0(0.00%),5(62.50%),3(37.50%),0(0.00%),5.49
244,Player_012,Club_14,12,6,3,47,22,15.67,0,0,37.88,1,0,0,2,1,0,0,0,6(50.00%),9(75.00%),3(25.00%),0(0.00%),3.29
245,Player_170,Club_43,15,11,4,46,17,6.57,0,0,32.39,5,0,3,2,4,1,0,0,4(26.67%),4(26.67%),11(73.33%),0(0.00%),3.42
246,Player_279,Club_10,6,5,4,46,21,46.0,0,0,80.7,3,0,0,1,0,0,0,0,1(16.67%),4(66.67%),2(33.33%),0(0.00%),7.37
247,Player_058,Club_01,12,9,2,46,17,6.57,0,0,48.1,22,1,2,3,4,0,0,0,3(25.00%),7(58.33%),5(41.67%),0(0.00%),4.32
248,Player_292,Club_35,10,8,2,46,13,7.67,0,0,75.41,5,0,0,5,0,0,0,1,2(20.00%),5(50.00%),5(50.00%),0(0.00%),5.6
249,Player_220,Club_49,12,9,3,45,15,7.5,0,0,30.41,4,0,3,3,0,0,1,2,3(25.00%),5(41.67%),6(50.00%),0(0.00%),5.31
250,Player_257,Club_30,7,7,0,45,18,6.43,0,0,46.39,7,0,0,5,2,0,0,0,0(0.00%),1(14.29%),6(85.71%),0(0.00%),8.6
251,Player_320,Club_08,11,9,4,44,15,8.8,0,0,43.56,6,0,2,3,2,0,0,0,2(18.18%),4(36.36%),7(63.64%),0(0.00%),4.63
252,Player_352,Club_46,8,7,3,44,22,11.0,0,0,49.44,4,0,1,1,1,0,0,2,1(12.50%),4(50.00%),4(50.00%),0(0.00%),5.68
253,Player_296,Club_34,14,9,2,44,15,6.29,0,0,47.83,5,0,1,5,1,0,1,0,5(35.71%),11(78.57%),3(21.43%),0(0.00%),3.22
254,Player_002,Club_45,9,7,0,44,13,6.29,0,0,54.43,5,0,0,4,0,0,0,3,2(22.22%),5(55.56%),3(33.33%),0(0.00%),5.96
255,Player_143,Club_21,5,4,2,43,23,21.5,0,0,66.15,5,0,0,0,2,0,0,0,1(20.00%),1(20.00%),4(80.00%),0(0.00%),8.57
256,Player_070,Club_08,11,9,2,43,10,6.14,0,0,48.31,6,0,2,3,1,2,0,1,2(18.18%),4(36.36%),7(63.64%),0(0.00%),4.76
257,Player_230,Club_30,8,5,1,43,16,10.75,0,0,58.9,8,0,1,2,1,1,0,0,3(37.50%),1(12.50%),7(87.50%),0(0.00%),7.0
258,Player_021,Club_19,8,7,3,42,12,10.5,0,0,44.83,2,0,0,2,1,1,0,0,1(12.50%),5(62.50%),3(37.50%),0(0.00%),5.04
259,Player_132,Club_31,11,8,2,42,25,7.0,0,0,59.15,6,0,1,1,3,1,0,0,3(27.27%),4(36.36%),7(63.64%),0(0.00%),3.62
260,Player_403,Club_03,7,7,0,42,12,6.0,0,0,51.85,5,0,1,2,3,1,0,1,0(0.00%),3(42.86%),4(57.14%),0(0.00%),7.08
261,Player_069,Club_14,16,12,5,41,11,5.86,0,0,28.67,1,0,4,5,0,0,0,2,4(25.00%),5(31.25%),11(68.75%),0(0.00%),3.5
262,Player_033,Club_08,13,11,4,41,16,5.86,0,0,32.03,3,0,3,4,3,0,0,0,2(15.38%),4(30.77%),9(69.23%),0(0.00%),3.8
263,Player_092,Club_26,5,5,1,41,28,10.25,0,0,34.62,1,0,2,4,0,0,0,0,0(0.00%),0(0.00%),4(80.00%),0(0.00%),13.36
264,Player_299,Club_24,10,10,1,40,18,4.44,0,0,31.01,5,0,4,5,4,0,0,0,0(0.00%),3(30.00%),7(70.00%),0(0.00%),6.29
265,Player_332,Club_14,14,10,4,39,15,6.5,0,0,95.12,6,0,4,6,0,0,0,0,4(28.57%),11(78.57%),3(21.43%),0(0.00%),2.28
266,Player_391,Club_41,3,3,2,39,30,39.0,0,0,72.22,3,0,0,1,0,0,0,0,0(0.00%),2(66.67%),1(33.33%),0(0.00%),12.0
267,Player_335,Club_35,7,5,1,39,16,9.75,0,0,69.64,4,1,0,2,2,0,0,0,2(28.57%),3(42.86%),4(57.14%),0(0.00%),6.1
268,Player_216,Club_33,7,6,1,39,18,7.8,0,0,35,3,0,1,4,0,0,0,1,1(14.29%),5(71.43%),2(28.57%),0(0.00%),5.54
269,Player_114,Club_24,10,8,1,39,11,5.57,0,0,51.32,4,0,0,1,3,2,0,1,2(20.00%),3(30.00%),7(70.00%),0(0.00%),6.13
270,Player_118,Club_33,8,7,5,37,16,18.5,0,0,44.9,1,0,1,2,0,0,0,0,1(12.50%),5(62.50%),3(37.50%),0(0.00%),4.91
271,Player_083,Club_31,11,8,2,37,8,6.17,0,0,71.15,6,0,0,3,3,0,0,0,3(27.27%),4(36.36%),7(63.64%),0(0.00%),3.19
272,Player_270,Club_45,10,7,1,37,11,6.17,0,0,65,2,1,2,3,1,1,1,0,3(30.00%),6(60.00%),2(20.00%),1(10.00%),4.81
273,Player_240,Club_36,5,4,1,37,20,12.33,0,0,63.79,5,1,1,1,1,0,0,1,1(20.00%),0(0.00%),5(100.00%),0(0.00%),8.08
274,Player_369,Club_11,9,5,1,37,17,9.25,0,0,82.22,5,0,1,4,0,0,0,0,4(44.44%),5(55.56%),4(44.44%),0(0.00%),4.08
275,Player_218,Club_17,5,4,1,37,31,12.33,0,0,129.63,7,0,1,1,1,0,0,1,1(20.00%),1(20.00%),4(80.00%),0(0.00%),12.71
276,Player_400,Club_46,8,7,4,36,14,12.0,0,0,47.37,5,0,0,2,0,0,1,0,1(12.50%),4(50.00%),4(50.00%),0(0.00%),4.51
277,Player_014,Club_12,7,5,3,36,13,18.0,0,0,61.02,5,0,0,2,0,0,0,0,2(28.57%),6(85.71%),1(14.29%),0(0.00%),3.99
278,Player_273,Club_48,12,6,2,36,18,9.0,0,0,80,3,0,2,2,1,0,0,1,6(50.00%),11(91.67%),1(8.33%),0(0.00%),2.82
279,Player_370,Club_38,6,5,2,35,17,11.67,0,0,71.43,3,0,1,3,0,0,0,0,1(16.67%),3(50.00%),3(50.00%),0(0.00%),6.02
280,Player_200,Club_30,10,8,5,34,13,11.33,0,0,39.08,1,0,0,3,0,0,0,0,2(20.00%),1(10.00%),9(90.00%),0(0.00%),4.61
281,Player_097,Club_14,10,9,2,34,25,4.86,0,0,49.23,3,0,2,4,1,0,0,2,1(10.00%),3(30.00%),7(70.00%),0(0.00%),4.66
282,Player_073,Club_35,9,5,2,33,9,11.0,0,0,35.11,2,0,1,2,0,0,0,1,4(44.44%),6(66.67%),3(33.33%),0(0.00%),3.84
283,Player_121,Club_33,8,6,4,32,15,16.0,0,0,16,0,0,0,0,1,0,0,1,2(25.00%),5(62.50%),3(37.50%),0(0.00%),4.15
284,Player_255,Club_14,11,8,1,32,15,4.57,0,0,43.84,5,0,3,5,1,0,0,1,3(27.27%),6(54.55%),5(45.45%),0(0.00%),3.68
285,Player_342,Club_08,7,7,1,32,14,5.33,0,0,46.38,3,0,1,2,3,0,0,1,0(0.00%),5(71.43%),2(28.57%),0(0.00%),4.62
286,Player_156,Club_08,11,7,4,31,16,10.33,0,0,40.26,3,0,2,1,2,0,0,0,4(36.36%),6(54.55%),5(45.45%),0(0.00%),2.85
287,Player_105,Club_36,8,6,2,31,20,7.75,0,0,79.49,4,0,2,0,3,0,0,1,2(25.00%),2(25.00%),6(75.00%),0(0.00%),4.02
288,Player_291,Club_32,12,7,2,31,13,6.2,0,0,42.25,2,0,1,2,3,0,0,0,5(41.67%),9(75.00%),2(16.67%),1(8.33%),3.26
289,Player_389,Club_08,12,9,2,31,13,4.43,0,0,44.93,4,0,3,5,0,0,0,2,3(25.00%),6(50.00%),5(41.67%),0(0.00%),2.64
290,Player_380,Club_14,7,6,1,31,11,6.2,0,0,54.39,6,0,2,3,1,0,0,1,1(14.29%),1(14.29%),6(85.71%),0(0.00%),7.69
291,Player_130,Club_23,3,3,0,30,12,10.0,0,0,-,0,0,0,1,1,0,0,1,0(0.00%),2(66.67%),1(33.33%),0(0.00%),13.7
292,Player_290,Club_39,11,6,3,29,14,9.67,0,0,33.72,1,0,0,2,1,0,0,0,5(45.45%),8(72.73%),3(27.27%),0(0.00%),2.53
293,Player_100,Club_08,6,6,2,29,11,7.25,0,0,69.05,4,0,0,2,2,0,0,0,0(0.00%),3(50.00%),2(33.33%),0(0.00%),5.11
294,Player_111,Club_36,13,8,2,29,10,4.83,0,0,37.18,2,0,1,5,1,0,0,0,5(38.46%),5(38.46%),8(61.54%),0(0.00%),2.04
295,Player_259,Club_01,11,6,2,29,12,7.25,0,0,37.18,4,0,1,2,2,0,0,0,5(45.45%),7(63.64%),4(36.36%),0(0.00%),2.94
296,Player_383,Club_46,10,9,1,29,9,3.63,0,0,19.81,1,0,3,6,1,0,0,1,1(10.00%),5(50.00%),5(50.00%),0(0.00%),3.13
297,Player_192,Club_14,10,7,4,28,9,9.33,0,0,35.9,1,0,0,2,1,0,0,0,3(30.00%),6(60.00%),4(40.00%),0(0.00%),3.07
298,Player_172,Club_46,7,5,4,28,10,28.0,0,0,64.29,3,0,1,1,0,0,0,0,2(28.57%),3(42.86%),4(57.14%),0(0.00%),3.85
299,Player_015,Club_42,8,6,3,28,20,9.33,0,0,57.14,3,0,1,1,1,0,0,1,2(25.00%),6(75.00%),2(25.00%),0(0.00%),2.93
300,Player_103,Club_24,10,9,2,28,21,4.0,0,0,29.79,0,0,4,6,1,0,0,0,1(10.00%),3(30.00%),7(70.00%),0(0.00%),4.4
301,Player_161,Club_17,9,9,1,28,10,3.5,0,0,28.57,0,0,3,3,4,0,0,1,0(0.00%),1(11.11%),8(88.89%),0(0.00%),4.79
302,Player_051,Club_19,3,3,1,26,25,13.0,0,0,59.09,4,0,1,2,0,0,0,0,0(0.00%),3(100.00%),0(0.00%),0(0.00%),6.68
303,Player_286,Club_32,14,10,4,25,10,4.17,0,0,32.89,1,0,1,6,0,0,0,0,4(28.57%),9(64.29%),3(21.43%),1(7.14%),2.19
304,Player_193,Club_45,9,4,2,25,14,12.5,0,0,69.7,5,0,0,2,0,0,0,0,5(55.56%),5(55.56%),2(22.22%),1(11.11%),3.62
305,Player_001,Club_45,11,8,1,25,10,3.57,0,0,30.26,1,0,0,2,1,0,0,4,3(27.27%),6(54.55%),3(27.27%),1(9.09%),2.94
306,Player_048,Club_13,10,4,1,24,16,8.0,0,0,31.58,1,0,1,2,0,0,0,1,6(60.00%),9(90.00%),1(10.00%),0(0.00%),2.33
307,Player_340,Club_05,7,6,0,24,7,4.0,0,0,88.46,4,0,0,3,1,0,0,2,1(14.29%),5(71.43%),2(28.57%),0(0.00%),3.05
308,Player_264,Club_20,6,5,0,24,12,4.8,0,0,48,3,0,1,4,0,0,0,1,0(0.00%),0(0.00%),5(83.33%),0(0.00%),7.29
309,Player_101,Club_38,6,6,0,24,9,4.0,0,0,40.68,3,1,1,3,1,0,0,2,0(0.00%),2(33.33%),4(66.67%),0(0.00%),4.4
310,Player_210,Club_20,7,7,0,24,15,3.43,0,0,31.58,3,0,3,6,1,0,0,0,0(0.00%),0(0.00%),7(100.00%),0(0.00%),6.37
311,Player_112,Club_01,12,6,2,23,9,5.75,0,0,44.23,1,0,0,2,1,0,0,1,6(50.00%),7(58.33%),5(41.67%),0(0.00%),2.16
312,Player_325,Club_42,13,7,1,23,13,3.83,0,0,56.1,2,0,1,3,1,0,0,2,6(46.15%),7(53.85%),6(46.15%),0(0.00%),1.54
313,Player_336,Club_25,6,5,1,23,13,5.75,0,0,31.94,2,0,1,4,0,0,0,0,1(16.67%),1(16.67%),5(83.33%),0(0.00%),4.65
314,Player_404,Club_42,11,6,0,23,16,3.83,0,0,60.53,3,0,2,2,2,0,0,2,5(45.45%),6(54.55%),5(45.45%),0(0.00%),2.56
315,Player_371,Club_39,13,3,1,22,12,11.0,0,0,91.67,2,1,1,2,0,0,0,0,10(76.92%),10(76.92%),3(23.08%),0(0.00%),1.78
316,Player_319,Club_24,10,9,1,22,10,2.75,0,0,13.66,1,0,3,6,1,0,0,1,1(10.00%),3(30.00%),7(70.00%),0(0.00%),3.46
317,Player_209,Club_43,11,6,1,22,11,4.4,0,0,40.74,3,0,1,3,2,0,0,0,5(45.45%),4(36.36%),7(63.64%),0(0.00%),2.23
318,Player_241,Club_37,5,5,2,21,11,7.0,0,0,67.74,1,1,1,1,2,0,0,0,0(0.00%),3(60.00%),2(40.00%),0(0.00%),4.49
319,Player_399,Club_39,10,5,1,21,14,5.25,0,0,58.33,2,0,2,3,1,0,0,0,5(50.00%),8(80.00%),2(20.00%),0(0.00%),2.06
320,Player_382,Club_04,5,3,1,21,11,10.5,0,0,51.22,3,0,0,2,0,0,0,0,2(40.00%),2(40.00%),3(60.00%),0(0.00%),6.27
321,Player_127,Club_34,15,9,6,20,10,6.67,0,0,24.39,2,0,3,1,2,0,0,0,6(40.00%),12(80.00%),3(20.00%),0(0.00%),1.35
322,Player_268,Club_08,7,5,1,20,10,5.0,0,0,54.05,4,0,2,4,0,0,0,0,2(28.57%),1(14.29%),5(71.43%),0(0.00%),3.0
323,Player_358,Club_27,9,6,1,20,7,4.0,0,0,24.68,1,0,1,3,2,0,0,0,3(33.33%),3(33.33%),6(66.67%),0(0.00%),2.38
324,Player_180,Club_40,11,9,3,19,8,3.17,0,0,30.65,3,0,3,3,2,0,0,1,2(18.18%),1(9.09%),10(90.91%),0(0.00%),2.63
325,Player_163,Club_39,10,5,3,19,9,9.5,0,0,42.22,2,0,1,0,1,0,0,1,5(50.00%),9(90.00%),1(10.00%),0(0.00%),2.02
326,Player_331,Club_46,10,7,2,18,7,3.6,0,0,22.03,1,0,1,1,1,0,1,2,3(30.00%),5(50.00%),5(50.00%),0(0.00%),1.94
